Id,EmployeeId,Name,Date,GrossPayAmount,NetAmount,BasicPayAmount,SSSAmount,SSSERAmount,PagibigAmount,PagibigERAmount,PhilhealthAmount,PhilhealthERAmount,RestDayAmount,RestDayHrs,RegularHolidayAmount,RegularHolidayHrs,SpecialHolidayAmount,SpecialHolidayHrs,OvertimeAmount,OvertimeHrs,NightDiffAmount,NightDiffHrs,NightDiffOvertimeAmount,NightDiffOvertimeHrs,NightDiffRegularHolidayAmount,NightDiffRegularHolidayHrs,NightDiffSpecialHolidayAmount,NightDiffSpecialHolidayHrs,OvertimeRestDayAmount,OvertimeRestDayHrs,OvertimeRegularHolidayAmount,OvertimeRegularHolidayHrs,OvertimeSpecialHolidayAmount,OvertimeSpecialHolidayHrs,UnionDues,Absences,AbsencesAmount,Leaves,LeavesAmount,Lates,LatesAmount,Undertime,UndertimeAmount,Overbreak,OverbreakAmount,SvcCharge,CostOfLivingAllowanceAmount,MonthlyAllowanceAmount,SalaryUnderpaymentAmount,RefundAbsencesAmount,RefundUndertimeAmount,RefundOvertimeAmount,LaborHoursIncome,LaborHrs,TaxDeductions,TaxPercentage,TotalConstantDeductions,TotalLoanDeductions,TotalDeductions,Division,Department,Section,Position,Charging
d3cc7e42-16ac-4cce-96fc-676db598ff49,d2f495f2-9d4d-40d5-a253-1c6abd0e18f8,"LastName11, FirstName11",11/10/2024,10750.0,7850.82,21500.0,968.0,2072.0,0.0,0.0,537.5,537.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,413.44,1.0,103.36,8.0,826.88,210.0,0.0,0.0,0.0,0.0,0.0,0.0,10750.0,67.0,0.0,0,2899.18,0.0,2899.18,Division 1,Department 1,Section 1,Position 1,Charging 1A
f802fcb6-ebce-49d7-94b2-c2618f14fdcc,4db46de2-0cd9-4a1d-a6af-96ab4cee4cdb,"LastName12, FirstName12",11/10/2024,10800.0,8826.6,21600.0,968.0,2072.0,0.0,0.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,2.0,207.7,2.0,207.7,211.0,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,76.0,0.0,0,1973.4,0.0,1973.4,Division 1,Department 1,Section 1,Position 1,Charging 1A
96ac03cf-4b8c-464c-8431-63fe7a13d304,d42862ed-1650-4bba-961d-314646627979,"LastName13, FirstName13",11/10/2024,10850.0,8663.52,21700.0,968.0,2072.0,0.0,0.0,542.5,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,625.98,212.0,0.0,0.0,0.0,0.0,0.0,0.0,10850.0,74.0,0.0,0,2186.48,0.0,2186.48,Division 1,Department 1,Section 1,Position 1,Charging 1A
11bc9734-11b9-4d01-b45d-733bf677aa41,c647e3e7-87b3-4251-8d9b-ce217912a626,"LastName14, FirstName14",11/10/2024,10900.0,7742.85,21800.0,990.0,2120.0,0.0,0.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,419.24,1.0,104.81,10.0,1048.1,213.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,65.0,0.0,0,3157.15,0.0,3157.15,Division 1,Department 1,Section 1,Position 1,Charging 1A
8508d667-377e-463d-96de-5d5599e71535,4b583611-a0a8-4050-84c2-5654702a9b79,"LastName15, FirstName15",11/10/2024,10950.0,7046.12,21900.0,990.0,2120.0,0.0,0.0,547.5,547.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,421.16,0.0,0.0,18.0,1895.22,214.0,0.0,0.0,0.0,0.0,0.0,0.0,10950.0,58.0,0.0,0,3903.88,0.0,3903.88,Division 1,Department 1,Section 1,Position 1,Charging 1A
babdbbf0-57a0-4c08-9c56-e6037ae02006,5ab8a22d-d9f2-48d7-96a3-a3aea2f6dc1a,"LastName16, FirstName16",11/10/2024,11000.0,7611.91,22000.0,990.0,2120.0,0.0,0.0,550.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,423.08,1.0,105.77,12.0,1269.24,215.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,63.0,0.0,0,3388.09,0.0,3388.09,Division 1,Department 1,Section 1,Position 1,Charging 1A
45841cae-a94d-4b1a-8afe-5d42542840ca,a8849b3f-7fe3-4889-ab24-cbed1a56a17a,"LastName17, FirstName17",11/10/2024,11050.0,7863.75,22100.0,990.0,2120.0,0.0,0.0,552.5,552.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,212.5,1.0,106.25,12.0,1275.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,11050.0,65.0,0.0,0,3186.25,0.0,3186.25,Division 1,Department 1,Section 1,Position 1,Charging 1A
e0da8084-3ab6-4dd7-b79e-860ba9b786d0,8658741a-4094-4e82-af84-a5c23df8201a,"LastName18, FirstName18",11/10/2024,11100.0,8117.51,22200.0,990.0,2120.0,0.0,0.0,555.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,3.0,320.19,10.0,1067.3,217.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.0,67.0,0.0,0,2982.49,0.0,2982.49,Division 1,Department 1,Section 1,Position 1,Charging 1A
a537b999-cc78-4e33-969f-e8dbbef0ec60,6f84dcab-b5f1-4703-b87e-9676b630a4cc,"LastName19, FirstName19",11/10/2024,11150.0,8351.19,22300.0,1012.0,2168.0,0.0,0.0,557.5,557.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,1.0,107.21,10.0,1072.1,218.0,0.0,0.0,0.0,0.0,0.0,0.0,11150.0,69.0,0.0,0,2798.81,0.0,2798.81,Division 1,Department 1,Section 1,Position 1,Charging 1A
915818f2-0d5a-4592-9ae3-d8aa522a81d4,4c298e7f-1a62-45cf-98c8-3d2b3db8fa10,"LastName20, FirstName20",11/10/2024,11200.0,7639.58,22400.0,1012.0,2168.0,0.0,0.0,560.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,215.38,3.0,323.07,13.0,1399.97,219.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,62.0,0.0,0,3560.42,0.0,3560.42,Division 1,Department 1,Section 1,Position 1,Charging 1A
